tipo,km,n_clientes,v_kmh,s_min,t_desloc_h,t_servico_h,t_total_h,pct_desloc,folga_h,viavel
VUC,171.77710844151812,25,15,5,11.451807229434541,2.083333333333333,13.535140562767875,84.60796676863397,-5.535140562767875,False
VUC,171.77710844151812,25,15,10,11.451807229434541,4.166666666666666,15.618473896101207,73.32219079543502,-7.618473896101207,False
VUC,171.77710844151812,25,15,15,11.451807229434541,6.25,17.701807229434543,64.692870513201,-9.701807229434543,False
VUC,171.77710844151812,25,15,20,11.451807229434541,8.333333333333332,19.78514056276787,57.88084847365105,-11.785140562767872,False
VUC,171.77710844151812,25,15,25,11.451807229434541,10.416666666666668,21.868473896101207,52.36674165670158,-13.868473896101207,False
VUC,171.77710844151812,25,15,30,11.451807229434541,12.5,23.951807229434543,47.81187122849476,-15.951807229434543,False
VUC,171.77710844151812,25,15,40,11.451807229434541,16.666666666666664,28.118473896101207,40.72698707529217,-20.118473896101207,False
VUC,171.77710844151812,25,15,45,11.451807229434541,18.75,30.201807229434543,37.91762242053404,-22.201807229434543,False
VUC,171.77710844151812,25,15,60,11.451807229434541,25.0,36.45180722943454,31.416294828277536,-28.451807229434543,False
VUC,171.77710844151812,25,20,5,8.588855422075905,2.083333333333333,10.672188755409238,80.47885601463535,-2.6721887554092376,False
VUC,171.77710844151812,25,20,10,8.588855422075905,4.166666666666666,12.755522088742572,67.33440906864979,-4.7555220887425715,False
VUC,171.77710844151812,25,20,15,8.588855422075905,6.25,14.838855422075905,57.880848473651035,-6.8388554220759055,False
VUC,171.77710844151812,25,20,20,8.588855422075905,8.333333333333332,16.922188755409238,50.75499124976045,-8.922188755409238,False
VUC,171.77710844151812,25,20,25,8.588855422075905,10.416666666666668,19.005522088742573,45.19136797175012,-11.005522088742573,False
VUC,171.77710844151812,25,20,30,8.588855422075905,12.5,21.088855422075905,40.726987075292165,-13.088855422075905,False
VUC,171.77710844151812,25,20,40,8.588855422075905,16.666666666666664,25.25552208874257,34.0078316017245,-17.25552208874257,False
VUC,171.77710844151812,25,20,45,8.588855422075905,18.75,27.338855422075905,31.416294828277536,-19.338855422075905,False
VUC,171.77710844151812,25,20,60,8.588855422075905,25.0,33.58885542207591,25.57055104780669,-25.58885542207591,False
VUC,171.77710844151812,25,25,5,6.871084337660725,2.083333333333333,8.954417670994058,76.7340165504916,-0.9544176709940579,False
VUC,171.77710844151812,25,25,10,6.871084337660725,4.166666666666666,11.03775100432739,62.250764081984556,-3.03775100432739,False
VUC,171.77710844151812,25,25,15,6.871084337660725,6.25,13.121084337660726,52.36674165670157,-5.121084337660726,False
VUC,171.77710844151812,25,25,20,6.871084337660725,8.333333333333332,15.204417670994058,45.191367971750125,-7.204417670994058,False
VUC,171.77710844151812,25,25,25,6.871084337660725,10.416666666666668,17.287751004327394,39.745391612482074,-9.287751004327394,False
VUC,171.77710844151812,25,25,30,6.871084337660725,12.5,19.371084337660726,35.47082970622431,-11.371084337660726,False
VUC,171.77710844151812,25,25,40,6.871084337660725,16.666666666666664,23.53775100432739,29.191762358253698,-15.53775100432739,False
VUC,171.77710844151812,25,25,45,6.871084337660725,18.75,25.621084337660726,26.818085632546158,-17.621084337660726,False
VUC,171.77710844151812,25,25,60,6.871084337660725,25.0,31.871084337660726,21.558991419508914,-23.871084337660726,False
VUC,171.77710844151812,25,30,5,5.725903614717271,2.083333333333333,7.809236948050604,73.32219079543502,0.19076305194939636,True
VUC,171.77710844151812,25,30,10,5.725903614717271,4.166666666666666,9.892570281383936,57.88084847365105,-1.8925702813839358,False
VUC,171.77710844151812,25,30,15,5.725903614717271,6.25,11.975903614717271,47.81187122849476,-3.9759036147172715,False
VUC,171.77710844151812,25,30,20,5.725903614717271,8.333333333333332,14.059236948050604,40.72698707529217,-6.059236948050604,False
VUC,171.77710844151812,25,30,25,5.725903614717271,10.416666666666668,16.14257028138394,35.47082970622431,-8.14257028138394,False
VUC,171.77710844151812,25,30,30,5.725903614717271,12.5,18.22590361471727,31.416294828277536,-10.225903614717271,False
VUC,171.77710844151812,25,30,40,5.725903614717271,16.666666666666664,22.392570281383936,25.570551047806696,-14.392570281383936,False
VUC,171.77710844151812,25,30,45,5.725903614717271,18.75,24.47590361471727,23.39404381080462,-16.47590361471727,False
VUC,171.77710844151812,25,30,60,5.725903614717271,25.0,30.72590361471727,18.63542789991258,-22.72590361471727,False
VUC,171.77710844151812,25,35,5,4.907917384043375,2.083333333333333,6.991250717376708,70.20084935367542,1.0087492826232918,True
VUC,171.77710844151812,25,35,10,4.907917384043375,4.166666666666666,9.07458405071004,54.08421318946686,-1.0745840507100404,False
VUC,171.77710844151812,25,35,15,4.907917384043375,6.25,11.157917384043376,43.985962748407246,-3.157917384043376,False
VUC,171.77710844151812,25,35,20,4.907917384043375,8.333333333333332,13.241250717376708,37.065361035741404,-5.241250717376708,False
VUC,171.77710844151812,25,35,25,4.907917384043375,10.416666666666668,15.324584050710044,32.026431306734054,-7.324584050710044,False
VUC,171.77710844151812,25,35,30,4.907917384043375,12.5,17.407917384043376,28.19359304026868,-9.407917384043376,False
