f_vuc,custo,y_VUC,y_FIO,km,custo_variavel,tempo_s,frota
0,243.9027674309417,1,0,162.60184495396112,243.9027674309417,0.30495238304138184,VUC
10,253.9027674309417,1,0,162.60184495396112,243.9027674309417,0.26965928077697754,VUC
20,263.9027674309417,1,0,162.60184495396112,243.9027674309417,0.2583022117614746,VUC
30,273.9027674309417,1,0,162.60184495396112,243.9027674309417,0.2771449089050293,VUC
40,283.9027674309417,1,0,162.60184495396112,243.9027674309417,0.25394415855407715,VUC
50,293.9027674309417,1,0,162.60184495396112,243.9027674309417,0.23091435432434082,VUC
60,303.9027674309417,1,0,162.60184495396112,243.9027674309417,0.22778797149658203,VUC
70,313.9027674309417,1,0,162.60184495396112,243.9027674309417,0.2796053886413574,VUC
80,323.9027674309417,1,0,162.60184495396112,243.9027674309417,0.4128289222717285,VUC
90,333.9027674309417,1,0,162.60184495396112,243.9027674309417,0.21633386611938477,VUC
100,343.9027674309417,1,0,162.60184495396112,243.9027674309417,0.31223559379577637,VUC
110,353.9027674309417,1,0,162.60184495396112,243.9027674309417,0.23293280601501465,VUC
120,363.9027674309417,1,0,162.60184495396112,243.9027674309417,0.3390157222747803,VUC
130,373.9027674309417,1,0,162.60184495396115,243.9027674309417,0.22294330596923828,VUC
140,383.9027674309417,1,0,162.60184495396112,243.9027674309417,0.23635101318359375,VUC
150,393.9027674309417,1,0,162.60184495396112,243.9027674309417,0.22964859008789062,VUC
160,403.9027674309417,1,0,162.60184495396112,243.9027674309417,0.22832489013671875,VUC
170,413.9027674309417,1,0,162.60184495396112,243.9027674309417,0.20965099334716797,VUC
180,423.9027674309417,1,0,162.60184495396112,243.9027674309417,0.21493744850158691,VUC
190,433.9027674309417,1,0,162.60184495396112,243.9027674309417,0.20621418952941895,VUC
200,443.9027674309417,1,0,162.60184495396115,243.9027674309417,0.24475669860839844,VUC
210,453.9027674309417,1,0,162.60184495396112,243.9027674309417,0.23062515258789062,VUC
220,463.9027674309417,1,0,162.60184495396112,243.9027674309417,0.2073068618774414,VUC
230,473.9027674309417,1,0,162.60184495396115,243.9027674309417,0.2179722785949707,VUC
240,483.9027674309417,1,0,162.60184495396112,243.9027674309417,0.2277536392211914,VUC
250,493.9027674309417,0,1,162.60184495396115,243.9027674309417,0.6299986839294434,FIO
260,493.9027674309417,0,1,162.60184495396112,243.9027674309417,0.20087003707885742,FIO
270,493.9027674309417,0,1,162.60184495396112,243.9027674309417,0.2396373748779297,FIO
280,493.9027674309417,0,1,162.60184495396112,243.9027674309417,0.2525818347930908,FIO
290,493.9027674309417,0,1,162.60184495396112,243.9027674309417,0.18683576583862305,FIO
300,493.9027674309417,0,1,162.60184495396112,243.9027674309417,0.17667365074157715,FIO
310,493.9027674309417,0,1,162.60184495396112,243.9027674309417,0.20099878311157227,FIO
320,493.9027674309417,0,1,162.60184495396112,243.9027674309417,0.2969248294830322,FIO
330,493.9027674309417,0,1,162.60184495396112,243.9027674309417,0.17026209831237793,FIO
340,493.9027674309417,0,1,162.60184495396115,243.9027674309417,0.19370746612548828,FIO
350,493.9027674309417,0,1,162.60184495396112,243.9027674309417,0.1776888370513916,FIO
360,493.9027674309417,0,1,162.60184495396112,243.9027674309417,0.22132301330566406,FIO
370,493.9027674309417,0,1,162.60184495396112,243.9027674309417,0.1784346103668213,FIO
380,493.9027674309417,0,1,162.60184495396115,243.9027674309417,0.20214390754699707,FIO
390,493.9027674309417,0,1,162.60184495396115,243.9027674309417,0.28627490997314453,FIO
400,493.9027674309417,0,1,162.60184495396115,243.9027674309417,0.27987194061279297,FIO
410,493.9027674309417,0,1,162.60184495396115,243.9027674309417,0.275465726852417,FIO
420,493.9027674309417,0,1,162.60184495396115,243.9027674309417,0.28528785705566406,FIO
430,493.9027674309417,0,1,162.60184495396115,243.9027674309417,0.2808716297149658,FIO
440,493.9027674309417,0,1,162.60184495396115,243.9027674309417,0.2960786819458008,FIO
450,493.9027674309417,0,1,162.60184495396115,243.9027674309417,0.27412962913513184,FIO
460,493.9027674309417,0,1,162.60184495396115,243.9027674309417,0.2840147018432617,FIO
470,493.9027674309417,0,1,162.60184495396115,243.9027674309417,0.5030317306518555,FIO
480,493.9027674309417,0,1,162.60184495396115,243.9027674309417,0.37424755096435547,FIO
490,493.9027674309417,0,1,162.60184495396115,243.9027674309417,0.3108038902282715,FIO
500,493.9027674309417,0,1,162.60184495396115,243.9027674309417,0.27631044387817383,FIO
510,493.9027674309417,0,1,162.60184495396115,243.9027674309417,0.2782764434814453,FIO
520,493.9027674309417,0,1,162.60184495396115,243.9027674309417,0.3045945167541504,FIO
530,493.9027674309417,0,1,162.60184495396115,243.9027674309417,0.28865909576416016,FIO
540,493.9027674309417,0,1,162.60184495396112,243.9027674309417,0.30798888206481934,FIO
550,493.9027674309417,0,1,162.60184495396112,243.9027674309417,0.25075697898864746,FIO
560,493.9027674309417,0,1,162.60184495396112,243.9027674309417,0.2546544075012207,FIO
570,493.9027674309417,0,1,162.60184495396112,243.9027674309417,0.3197019100189209,FIO
580,493.9027674309417,0,1,162.60184495396112,243.9027674309417,0.2853367328643799,FIO
590,493.9027674309417,0,1,162.60184495396112,243.9027674309417,0.42243170738220215,FIO
600,493.9027674309417,0,1,162.60184495396112,243.9027674309417,0.3166792392730713,FIO
610,493.9027674309417,0,1,162.60184495396112,243.9027674309417,0.26196861267089844,FIO
620,493.9027674309417,0,1,162.60184495396112,243.9027674309417,0.2974555492401123,FIO
630,493.9027674309417,0,1,162.60184495396115,243.9027674309417,0.30146217346191406,FIO
640,493.9027674309417,0,1,162.60184495396115,243.9027674309417,0.29518747329711914,FIO
650,493.9027674309417,0,1,162.60184495396115,243.9027674309417,0.36740970611572266,FIO
660,493.9027674309417,0,1,162.60184495396115,243.9027674309417,0.2969074249267578,FIO
670,493.9027674309417,0,1,162.60184495396115,243.9027674309417,0.2645690441131592,FIO
680,493.9027674309417,0,1,162.60184495396115,243.9027674309417,0.268984317779541,FIO
690,493.9027674309417,0,1,162.60184495396115,243.9027674309417,0.3065817356109619,FIO
700,493.9027674309417,0,1,162.60184495396115,243.9027674309417,0.2882058620452881,FIO
710,493.9027674309417,0,1,162.60184495396115,243.9027674309417,0.2610323429107666,FIO
720,493.9027674309417,0,1,162.60184495396115,243.9027674309417,0.2605259418487549,FIO
730,493.9027674309417,0,1,162.60184495396115,243.9027674309417,0.28673410415649414,FIO
740,493.9027674309417,0,1,162.60184495396115,243.9027674309417,0.26818299293518066,FIO
750,493.9027674309417,0,1,162.60184495396115,243.9027674309417,0.4324064254760742,FIO
760,493.9027674309417,0,1,162.60184495396115,243.9027674309417,0.29297947883605957,FIO
770,493.9027674309417,0,1,162.60184495396115,243.9027674309417,0.26366543769836426,FIO
780,493.9027674309417,0,1,162.60184495396115,243.9027674309417,0.2733583450317383,FIO
790,493.9027674309417,0,1,162.60184495396115,243.9027674309417,0.2921264171600342,FIO
800,493.9027674309417,0,1,162.60184495396115,243.9027674309417,0.2899131774902344,FIO
810,493.9027674309417,0,1,162.60184495396115,243.9027674309417,0.28494787216186523,FIO
820,493.9027674309417,0,1,162.60184495396112,243.9027674309417,0.2607417106628418,FIO
830,493.9027674309417,0,1,162.60184495396112,243.9027674309417,0.2598886489868164,FIO
840,493.9027674309417,0,1,162.60184495396112,243.9027674309417,0.26916003227233887,FIO
850,493.9027674309417,0,1,162.60184495396112,243.9027674309417,0.27202367782592773,FIO
860,493.9027674309417,0,1,162.60184495396112,243.9027674309417,0.2558255195617676,FIO
870,493.9027674309417,0,1,162.60184495396112,243.9027674309417,0.2647554874420166,FIO
880,493.9027674309417,0,1,162.60184495396112,243.9027674309417,0.24449443817138672,FIO
890,493.9027674309417,0,1,162.60184495396112,243.9027674309417,0.2630646228790283,FIO
900,493.9027674309417,0,1,162.60184495396112,243.9027674309417,0.2616443634033203,FIO
