tipo,km,n_clientes,v_kmh,s_min,t_desloc_h,t_servico_h,t_total_h,pct_desloc,folga_h,viavel
FIO,162.60184495396115,10,15,5,10.840122996930743,0.8333333333333333,11.673456330264077,92.8612973762289,-3.6734563302640773,False
FIO,162.60184495396115,10,15,10,10.840122996930743,1.6666666666666665,12.50678966359741,86.67390504281278,-4.506789663597409,False
FIO,162.60184495396115,10,15,15,10.840122996930743,2.5,13.340122996930743,81.25954310484849,-5.340122996930743,False
FIO,162.60184495396115,10,15,20,10.840122996930743,3.333333333333333,14.173456330264077,76.48185978309478,-6.173456330264077,False
FIO,162.60184495396115,10,15,25,10.840122996930743,4.166666666666667,15.00678966359741,72.23478998460328,-7.006789663597409,False
FIO,162.60184495396115,10,15,30,10.840122996930743,5.0,15.840122996930743,68.43458853842976,-7.840122996930743,False
FIO,162.60184495396115,10,15,40,10.840122996930743,6.666666666666666,17.50678966359741,61.91953639262062,-9.50678966359741,False
FIO,162.60184495396115,10,15,45,10.840122996930743,7.5,18.340122996930745,59.1060539710931,-10.340122996930745,False
FIO,162.60184495396115,10,15,60,10.840122996930743,10.0,20.840122996930745,52.015638288350004,-12.840122996930745,False
FIO,162.60184495396115,10,20,5,8.130092247698057,0.8333333333333333,8.963425581031391,90.7029592001427,-0.963425581031391,False
FIO,162.60184495396115,10,20,10,8.130092247698057,1.6666666666666665,9.796758914364723,82.98757087690626,-1.7967589143647231,False
FIO,162.60184495396115,10,20,15,8.130092247698057,2.5,10.630092247698057,76.48185978309478,-2.630092247698057,False
FIO,162.60184495396115,10,20,20,8.130092247698057,3.333333333333333,11.463425581031391,70.92201358336531,-3.463425581031391,False
FIO,162.60184495396115,10,20,25,8.130092247698057,4.166666666666667,12.296758914364723,66.11573264399544,-4.296758914364723,False
FIO,162.60184495396115,10,20,30,8.130092247698057,5.0,13.130092247698057,61.919536392620614,-5.130092247698057,False
FIO,162.60184495396115,10,20,40,8.130092247698057,6.666666666666666,14.796758914364723,54.945088277442615,-6.796758914364723,False
FIO,162.60184495396115,10,20,45,8.130092247698057,7.5,15.630092247698057,52.015638288350004,-7.630092247698057,False
FIO,162.60184495396115,10,20,60,8.130092247698057,10.0,18.13009224769806,44.843082630924386,-10.130092247698059,False
FIO,162.60184495396115,10,25,5,6.504073798158446,0.8333333333333333,7.337407131491779,88.64267283524845,0.662592868508221,True
FIO,162.60184495396115,10,25,10,6.504073798158446,1.6666666666666665,8.170740464825112,79.60201191260896,-0.17074046482511207,False
FIO,162.60184495396115,10,25,15,6.504073798158446,2.5,9.004073798158446,72.23478998460328,-1.004073798158446,False
FIO,162.60184495396115,10,25,20,6.504073798158446,3.333333333333333,9.83740713149178,66.11573264399544,-1.83740713149178,False
FIO,162.60184495396115,10,25,25,6.504073798158446,4.166666666666667,10.670740464825112,60.95241299887659,-2.670740464825112,False
FIO,162.60184495396115,10,25,30,6.504073798158446,5.0,11.504073798158446,56.537135559749345,-3.504073798158446,False
FIO,162.60184495396115,10,25,40,6.504073798158446,6.666666666666666,13.170740464825112,49.3827497059013,-5.170740464825112,False
FIO,162.60184495396115,10,25,45,6.504073798158446,7.5,14.004073798158446,46.44415540721972,-6.004073798158446,False
FIO,162.60184495396115,10,25,60,6.504073798158446,10.0,16.504073798158444,39.40889914636823,-8.504073798158444,False
FIO,162.60184495396115,10,30,5,5.420061498465372,0.8333333333333333,6.253394831798705,86.67390504281278,1.7466051682012953,True
FIO,162.60184495396115,10,30,10,5.420061498465372,1.6666666666666665,7.086728165132039,76.48185978309478,0.9132718348679614,True
FIO,162.60184495396115,10,30,15,5.420061498465372,2.5,7.920061498465372,68.43458853842976,0.07993850153462834,True
FIO,162.60184495396115,10,30,20,5.420061498465372,3.333333333333333,8.753394831798705,61.91953639262062,-0.7533948317987047,False
FIO,162.60184495396115,10,30,25,5.420061498465372,4.166666666666667,9.586728165132039,56.537135559749345,-1.5867281651320386,False
FIO,162.60184495396115,10,30,30,5.420061498465372,5.0,10.420061498465373,52.015638288350004,-2.4200614984653726,False
FIO,162.60184495396115,10,30,40,5.420061498465372,6.666666666666666,12.086728165132037,44.8430826309244,-4.086728165132037,False
FIO,162.60184495396115,10,30,45,5.420061498465372,7.5,12.920061498465373,41.95074070745839,-4.9200614984653726,False
FIO,162.60184495396115,10,30,60,5.420061498465372,10.0,15.420061498465373,35.149415577913125,-7.4200614984653726,False
FIO,162.60184495396115,10,35,5,4.645766998684604,0.8333333333333333,5.4791003320179374,84.79069039010609,2.5208996679820626,True
FIO,162.60184495396115,10,35,10,4.645766998684604,1.6666666666666665,6.312433665351271,73.59708228198987,1.6875663346487286,True
FIO,162.60184495396115,10,35,15,4.645766998684604,2.5,7.145766998684604,65.01425248737887,0.8542330013153956,True
FIO,162.60184495396115,10,35,20,4.645766998684604,3.333333333333333,7.9791003320179374,58.224195778594456,0.020899667982062553,True
FIO,162.60184495396115,10,35,25,4.645766998684604,4.166666666666667,8.812433665351271,52.718320217839846,-0.8124336653512714,False
FIO,162.60184495396115,10,35,30,4.645766998684604,5.0,9.645766998684604,48.163790389278,-1.6457669986846035,False
FIO,162.60184495396115,10,35,40,4.645766998684604,6.666666666666666,11.312433665351271,41.06779439435807,-3.3124336653512714,False
FIO,162.60184495396115,10,35,45,4.645766998684604,7.5,12.145766998684604,38.25009156842663,-4.1457669986846035,False
FIO,162.60184495396115,10,35,60,4.645766998684604,10.0,14.645766998684604,31.720885625873056,-6.6457669986846035,False
FIO,162.60184495396115,10,40,5,4.0650461238490285,0.8333333333333333,4.898379457182362,82.98757087690626,3.1016205428176384,True
FIO,162.60184495396115,10,40,10,4.0650461238490285,1.6666666666666665,5.7317127905156955,70.92201358336531,2.2682872094843045,True
FIO,162.60184495396115,10,40,15,4.0650461238490285,2.5,6.5650461238490285,61.919536392620614,1.4349538761509715,True
FIO,162.60184495396115,10,40,20,4.0650461238490285,3.333333333333333,7.398379457182362,54.945088277442615,0.6016205428176384,True
FIO,162.60184495396115,10,40,25,4.0650461238490285,4.166666666666667,8.231712790515695,49.38274970590129,-0.2317127905156955,False
FIO,162.60184495396115,10,40,30,4.0650461238490285,5.0,9.06504612384903,44.843082630924386,-1.0650461238490294,False
FIO,162.60184495396115,10,40,40,4.0650461238490285,6.666666666666666,10.731712790515694,37.878819562163194,-2.7317127905156937,False
FIO,162.60184495396115,10,40,45,4.0650461238490285,7.5,11.56504612384903,35.14941557791312,-3.5650461238490294,False
FIO,162.60184495396115,10,40,60,4.0650461238490285,10.0,14.06504612384903,28.901761772087177,-6.065046123849029,False
FIO,162.60184495396115,10,50,5,3.252036899079223,0.8333333333333333,4.085370232412556,79.60201191260896,3.914629767587444,True
FIO,162.60184495396115,10,50,10,3.252036899079223,1.6666666666666665,4.91870356574589,66.11573264399544,3.08129643425411,True
FIO,162.60184495396115,10,50,15,3.252036899079223,2.5,5.752036899079223,56.537135559749345,2.247963100920777,True
FIO,162.60184495396115,10,50,20,3.252036899079223,3.333333333333333,6.585370232412556,49.3827497059013,1.414629767587444,True
FIO,162.60184495396115,10,50,25,3.252036899079223,4.166666666666667,7.41870356574589,43.83564958835577,0.58129643425411,True
FIO,162.60184495396115,10,50,30,3.252036899079223,5.0,8.252036899079222,39.40889914636823,-0.2520368990792221,False
FIO,162.60184495396115,10,50,40,3.252036899079223,6.666666666666666,9.91870356574589,32.78691491809563,-1.91870356574589,False
FIO,162.60184495396115,10,50,45,3.252036899079223,7.5,10.752036899079222,30.245775099206732,-2.752036899079222,False
FIO,162.60184495396115,10,50,60,3.252036899079223,10.0,13.252036899079222,24.539902234238276,-5.252036899079222,False
FIO,162.60184495396115,10,60,5,2.710030749232686,0.8333333333333333,3.5433640825660193,76.48185978309478,4.456635917433981,True
FIO,162.60184495396115,10,60,10,2.710030749232686,1.6666666666666665,4.376697415899352,61.91953639262062,3.6233025841006476,True
FIO,162.60184495396115,10,60,15,2.710030749232686,2.5,5.210030749232686,52.015638288350004,2.7899692507673137,True
FIO,162.60184495396115,10,60,20,2.710030749232686,3.333333333333333,6.043364082566018,44.8430826309244,1.9566359174339816,True
FIO,162.60184495396115,10,60,25,2.710030749232686,4.166666666666667,6.876697415899352,39.40889914636823,1.1233025841006476,True
FIO,162.60184495396115,10,60,30,2.710030749232686,5.0,7.710030749232686,35.149415577913125,0.2899692507673137,True
FIO,162.60184495396115,10,60,40,2.710030749232686,6.666666666666666,9.376697415899352,28.901761772087184,-1.3766974158993524,False
FIO,162.60184495396115,10,60,45,2.710030749232686,7.5,10.210030749232686,26.542826518287935,-2.2100307492326863,False
FIO,162.60184495396115,10,60,60,2.710030749232686,10.0,12.710030749232686,21.321984208388262,-4.710030749232686,False
FIO,162.60184495396115,10,70,5,2.322883499342302,0.8333333333333333,3.1562168326756357,73.59708228198987,4.843783167324364,True
FIO,162.60184495396115,10,70,10,2.322883499342302,1.6666666666666665,3.9895501660089687,58.224195778594456,4.010449833991031,True
FIO,162.60184495396115,10,70,15,2.322883499342302,2.5,4.822883499342302,48.163790389278,3.1771165006576982,True
FIO,162.60184495396115,10,70,20,2.322883499342302,3.333333333333333,5.656216832675636,41.06779439435807,2.3437831673243643,True
FIO,162.60184495396115,10,70,25,2.322883499342302,4.166666666666667,6.48955016600897,35.7942143896063,1.5104498339910304,True
FIO,162.60184495396115,10,70,30,2.322883499342302,5.0,7.322883499342302,31.720885625873056,0.6771165006576982,True
FIO,162.60184495396115,10,70,40,2.322883499342302,6.666666666666666,8.989550166008968,25.839819083779336,-0.9895501660089678,False
FIO,162.60184495396115,10,70,45,2.322883499342302,7.5,9.822883499342302,23.647674325953602,-1.8228834993423018,False
FIO,162.60184495396115,10,70,60,2.322883499342302,10.0,12.322883499342302,18.850161972774305,-4.322883499342302,False
FIO,162.60184495396115,10,80,5,2.0325230619245143,0.8333333333333333,2.8658563952578477,70.92201358336531,5.134143604742152,True
FIO,162.60184495396115,10,80,10,2.0325230619245143,1.6666666666666665,3.699189728591181,54.945088277442615,4.300810271408819,True
FIO,162.60184495396115,10,80,15,2.0325230619245143,2.5,4.532523061924515,44.843082630924386,3.4674769380754853,True
FIO,162.60184495396115,10,80,20,2.0325230619245143,3.333333333333333,5.365856395257847,37.878819562163194,2.634143604742153,True
