f_vuc,custo,y_VUC,y_FIO,km,custo_variavel,tempo_s,frota
0,243.9027674309417,1,0,162.60184495396112,243.9027674309417,0.5943136215209961,VUC
50,293.9027674309417,1,0,162.60184495396112,243.9027674309417,0.35381126403808594,VUC
100,343.9027674309417,1,0,162.60184495396112,243.9027674309417,0.3454618453979492,VUC
150,393.9027674309417,1,0,162.60184495396112,243.9027674309417,0.33831334114074707,VUC
200,443.9027674309417,1,0,162.60184495396115,243.9027674309417,0.37302732467651367,VUC
250,493.9027674309417,0,1,162.60184495396115,243.9027674309417,0.7844116687774658,FIO
300,493.9027674309417,0,1,162.60184495396112,243.9027674309417,0.2625882625579834,FIO
350,493.9027674309417,0,1,162.60184495396112,243.9027674309417,0.2708122730255127,FIO
400,493.9027674309417,0,1,162.60184495396115,243.9027674309417,0.5862030982971191,FIO
450,493.9027674309417,0,1,162.60184495396115,243.9027674309417,0.4232633113861084,FIO
500,493.9027674309417,0,1,162.60184495396115,243.9027674309417,0.4593818187713623,FIO
550,493.9027674309417,0,1,162.60184495396112,243.9027674309417,0.3710305690765381,FIO
600,493.9027674309417,0,1,162.60184495396112,243.9027674309417,0.3652479648590088,FIO
650,493.9027674309417,0,1,162.60184495396115,243.9027674309417,0.3831954002380371,FIO
700,493.9027674309417,0,1,162.60184495396115,243.9027674309417,0.399921178817749,FIO
750,493.9027674309417,0,1,162.60184495396115,243.9027674309417,0.40380287170410156,FIO
800,493.9027674309417,0,1,162.60184495396115,243.9027674309417,0.39789676666259766,FIO
850,493.9027674309417,0,1,162.60184495396112,243.9027674309417,0.4123384952545166,FIO
900,493.9027674309417,0,1,162.60184495396112,243.9027674309417,0.5484020709991455,FIO
