solver,time_limit,rotulo,custo,bound,gap_pct,acima_do_melhor_pct
gurobi_direct,1,1s,2392.33301,688.17316,71.23422378392046,188.98935137760387
gurobi_direct,5,5s,1183.5448968,781.55952,33.96452284039792,42.97000903419593
gurobi_direct,15,15s,1158.27923,781.71691,32.510495763616525,39.91796375867025
gurobi_direct,30,30s,1091.0332,784.15958,28.12688193173224,31.79476915692084
gurobi_direct,60,1min,852.87996,784.84592,7.976977205561262,3.0263033670871535
gurobi_direct,120,2min,827.8273918,789.03979,4.685469722820055,3.7183621989172605e-09
gurobi_direct,300,5min,827.82739,791.8054,4.351389001516376,-2.1371826382692286e-07
gurobi_direct,600,10min,827.82739,795.17808,3.943975567177116,-2.1371826382692286e-07
gurobi_direct,900,15min,827.82739,796.71876,3.757864305504565,-2.1371826382692286e-07
gurobi_direct,1800,30min,827.8273917692184,799.2443347089675,3.4527798118836923,0.0
appsi_highs,5,5s,inf,688.17316,inf,inf
appsi_highs,15,15s,inf,688.17316,inf,inf
appsi_highs,30,30s,inf,688.17316,inf,inf
appsi_highs,60,1min,997.5114927,723.455245,27.473994004640705,20.497521901049407
appsi_highs,120,2min,997.5114927,723.455245,27.473994004640705,20.497521901049407
appsi_highs,300,5min,886.7887402,778.0421954,12.26295958330212,7.122420569434222
appsi_highs,600,10min,840.7968296,786.9949613,6.398914268693862,1.5666838231897111
appsi_highs,900,15min,840.7968296,787.5402024,6.334066129309298,1.5666838231897111
appsi_highs,1800,30min,839.4083499816429,787.6414140646382,6.16707421580174,1.3989580832393
