tempo_s,custo,bound,gap_pct
0.0,2392.33301,688.17316,71.23422378392046
2.0,1380.0648644,688.17316,50.13472353712942
3.0,1380.06486,724.16059,47.52706115566191
4.0,1379.8489738,724.16059,47.51885142866641
5.0,1183.5448968,781.55952,33.96452284039792
7.0,1183.5448968,781.55952,33.96452284039792
9.0,1183.5448968,781.57265,33.96341346127463
10.0,1158.2792324,781.70723,32.511331625943775
15.0,1158.27923,781.71691,32.510495763616525
16.0,1130.2588073,781.71691,30.837352918541598
17.0,1129.9227687,781.71691,30.816783973706293
18.0,1091.2950553,781.71691,28.367960048613632
20.0,1091.2950553,783.41637,28.212231312214946
22.0,1091.0332023,783.42452,28.194254918322574
26.0,1091.0332,783.42452,28.19425476694935
30.0,1091.0332,784.15958,28.12688193173224
32.0,1086.5218104,784.15958,27.8284547540455
34.0,935.0656597,784.15958,16.138554350120785
35.0,935.0656597,784.15958,16.138554350120785
37.0,892.7051374,784.15958,12.159172480639967
40.0,892.7051374,784.15958,12.159172480639967
45.0,884.2918444,784.15958,11.323440901791942
46.0,852.8799612,784.15958,8.057450558846595
50.0,852.87996,784.15958,8.05745042948365
55.0,852.87996,784.57543,8.008692102461875
60.0,852.87996,784.84592,7.976977205561262
61.0,838.8856179,784.84592,6.4418434106998745
65.0,838.8856179,784.84592,6.4418434106998745
70.0,838.8856179,784.85897,6.440287775495079
71.0,834.7655837,784.85897,5.978518361860919
72.0,833.9418463,784.9338,5.876674316972687
75.0,831.8617438,785.14407,5.616038259746203
80.0,829.9680608,785.42453,5.366896981200074
85.0,829.96806,785.43541,5.365585996164719
90.0,829.96806,785.60803,5.344787605441112
95.0,829.96806,785.76818,5.325491682173891
100.0,829.96806,786.22176,5.270841386354075
103.0,829.7449503,786.88507,5.165428278232208
105.0,829.74495,787.25481,5.120867562978237
110.0,829.74495,787.9593,5.035963159522698
111.0,828.7520022,787.9593,4.922184452250124
115.0,828.752,788.52614,4.853787381508569
119.0,828.5108835,789.03979,4.764100784440684
120.0,827.8273918,789.03979,4.685469722820055
125.0,827.82739,789.03979,4.685469515571356
130.0,827.82739,789.03979,4.685469515571356
135.0,827.82739,789.03979,4.685469515571356
140.0,827.82739,789.03979,4.685469515571356
145.0,827.82739,789.04623,4.684691575619405
150.0,827.82739,789.37817,4.644593844617787
155.0,827.82739,789.52338,4.627052748278849
160.0,827.82739,789.71244,4.60421465397515
165.0,827.82739,789.83031,4.589976178488124
170.0,827.82739,789.99502,4.570079518630095
175.0,827.82739,790.01097,4.568152788469586
198.0,827.82739,790.08815,4.558829588859097
200.0,827.82739,790.08815,4.558829588859097
205.0,827.82739,790.08815,4.558829588859097
210.0,827.82739,790.08815,4.558829588859097
215.0,827.82739,790.08815,4.558829588859097
220.0,827.82739,790.08815,4.558829588859097
226.0,827.82739,790.08815,4.558829588859097
230.0,827.82739,790.08815,4.558829588859097
235.0,827.82739,790.08815,4.558829588859097
240.0,827.82739,790.08815,4.558829588859097
245.0,827.82739,790.08815,4.558829588859097
250.0,827.82739,790.08815,4.558829588859097
255.0,827.82739,790.08815,4.558829588859097
260.0,827.82739,790.1954,4.54587398950403
265.0,827.82739,790.69666,4.485322719268818
270.0,827.82739,791.10295,4.436243647362293
275.0,827.82739,791.29218,4.413385017376631
281.0,827.82739,791.43169,4.396532470374051
289.0,827.82739,791.51332,4.386671719088688
291.0,827.82739,791.65065,4.370082512007726
296.0,827.82739,791.8054,4.351389001516376
301.0,827.82739,791.97567,4.3308207040600575
305.0,827.82739,792.13802,4.311209127786899
311.0,827.82739,792.22981,4.300121067509012
316.0,827.82739,792.24269,4.298565187605111
